State,State_Short,Total,Number,Percent
Alabama,AL,4808,777,16.2
Alaska,AK,702,70,10.0
Arizona,AZ,6642,1260,19.0
Arkansas,AR,2909,584,20.1
California,CA,37912,6015,15.9
Colorado,CO,5153,613,11.9
Connecticut,CT,3517,363,10.3
Delaware,DE,900,121,13.5
D.C.,DC,632,116,18.4
Florida,FL,19166,2926,15.3
Georgia,GA,9665,1752,18.1
Hawaii,HI,1356,188,13.8
Idaho,ID,1588,229,14.4
Illinois,IL,12727,1608,12.6
Indiana,IN,6343,964,15.2
Iowa,IA,3010,310,10.3
Kansas,KS,2828,397,14.0
Kentucky,KY,4342,776,17.9
Louisiana,LA,4465,944,21.1
Maine,ME,1330,170,12.8
Maryland,MD,5892,585,9.9
Massachusetts,MA,6566,743,11.3
Michigan,MI,9731,1331,13.7
Minnesota,MN,5353,534,10.0
Mississippi,MS,2893,636,22.0
Missouri,MO,5956,905,15.2
Montana,MT,999,134,13.4
Nebraska,NE,1849,226,12.2
Nevada,NV,2735,433,15.8
New Hampshire,NH,1308,106,8.1
New Jersey,NJ,8720,814,9.3
New Mexico,NM,2064,420,20.4
New York,NY,19298,3328,17.2
North Carolina,NC,9634,1652,17.2
North Dakota,ND,692,79,11.4
Ohio,OH,11398,1751,15.4
Oklahoma,OK,3700,668,18.0
Oregon,OR,3872,523,13.5
Pennsylvania,PA,12664,1756,13.9
Rhode Island,RI,1034,141,13.6
South Carolina,SC,4667,779,16.7
South Dakota,SD,822,106,12.8
Tennessee,TN,6422,1194,18.6
Texas,TX,26063,4444,17.0
Utah,UT,2849,312,11.0
Vermont,VT,615,69,11.2
Virginia,VA,7994,850,10.6
Washington,WA,6856,796,11.6
West Virginia,WV,1803,301,16.7
Wisconsin,WI,5628,640,11.4
Wyoming,WY,577,56,9.6